s	-1.40688864411679981340962466819564355798061587564877572441184554017261161002376048604795946229970346469130446318654880055484034728761136069513828243478473683	-0.497464021921347285006128328083151235274848576867467788219521478126358492339701496713365977866391109777000481031058291330655806554283635182110901055207293220
N	25

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
8	0.00762054319638748580067252834260334106909512502651691730923316991414750565999920260772751842230058324408127651888088091476302129344295430264331194795194443	0.00091852994477153526765143477655992854961959990600717393587285579843768316420258150906798969924632560809972680456567599704427944624487450735844695842850032
9	0.00303263537572544348835811064298929684090915780329968876348923114155492265914961209493512518135028362011423602555196551207552444657631349466860072744309369	0.00083122529842273213861312723339999900701369963441027029225614226573606351778356361381424426417592944244062313205927376918887941149608622402037674842123998
10	0.00112317346588912266502778683884000803738567712997475052508453895109711041804456599496928218216236788848642193966081559550432084731144834137313795794960085	0.0005827290982387202475385234437346111421916271082488001293623857140657127943037037350561926308948514415551196452563792986087228762204947469721303789253275
11	0.00038006341091133537359369305955155540744883942165288594723344134589417041586983514886088734679218480114096054774362164950767694363305774808447434732623806	0.00031871932814872766905559451812926398465110603752324648565852755707349358149584240792190705035955588903428229296370559175614278380059480162530543705363943
12	0.00011451170257198456097937197880305050784963872968039921456762261322276178357547672066080351477076218584482879513777862886280871078381336012145363697519503	0.00014419421275838914210819083625130241074137737503716183072698776702851040334556502302206233727365111430745040965614419633453642239252681891018269391964002
13	0.00002938774035201628600699142574967720082722486568356862228165896367170537485773317184581178632181868009633455901605497988714525734701182534237412708117237	0.00005613325494473106735160491253849581199951485067077171148552711977030441660160583374748188398714669428896614811054649360987746942159266365348695466076282
14	5.74698611240477959202295238455469240710794152718332281261662920226690455454774884993094425837387249165051192381020338877790884664332856214861093692535e-6	0.00001929205553339093582982851936380309354789346118394552196042519822987553647393320883951552558646250961038259386840599359906987715032681975270112952521158
15	4.5959232709424766639911567834131454011365748714510423772427252007311105672377007980914420681560417334884555645635314529908625923653762913953083381731e-7	5.95724542569186665466947674327372576024218957019693137801153560606910433404809984389942934193785615290639827883403705818255792179340094612344682308702e-6
16	-2.6966016783658864408497227214762299988980424598819799026082280164517576565598079873048509976330847515181590436981562932858398986892504857954981767859e-7	1.67402529873348010973926324483339231861954341779995224524989055541217168880053195444862516826430897614798717749749325273421766903004120591783579480005e-6
17	-1.8543819696435731107261694227373646195879392838218995993876228417724803196377087453503864150885927779874980269834446679495931417808936711645720472701e-7	4.3190979262008805824500105741903374775766868138232198041931200774086755603946076898186034721265855530380910630669354353605590021006074299007750779839e-7
18	-7.543168060560772686036561412449789200246090798984953908671060930921643041104303718627944011391367235770305371391149280345424764204791492714256882576e-8	1.0265929891219608112808418112579079594636702507150106024546359885052152828365767407832894060133897434067313761972237770579764187162522380939115401695e-7
19	-2.434486003198305266257992771806110602608492943680349017719683651454074134548471409802538159516199466329889863241323437648591851988845736021738561907e-8	2.229448593661455219826794899622298282576693200077006785776083671398015300918450195488836894273808267623477662942143728842755949484069223862044558624e-8
20	-6.70912767124575257145419587656279008265277813270282181001876888716784546728446377268363797449228703697812960392353479154391405528788581836707253531e-9	4.27067875853405790671968460111915575760561698557565772814193948376495746623510790759508479531475863609292923204214993849947580300157140871277593963e-9
