s	-0.1779246313778724125652120005152178509675423181561187703639623721770992017316962715759234642097336789737598225764160641944325887735662226216980430348181479	0.747343368836081044564012120434754107823160172903535881938910623355711335675523008900239525461539174202261286644053489464729872338914566586615874614796782
N	50

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
28	1.73433126420521629801840895695414461254034763994558734988950609493425045463108809734768995383024505473099830877403145667410582615970845071932e-13	4.321925271572157937233048701722056833072840358279292413245528361412108285815348869083303027045907478596522495406187689008073103312242842306495e-12
29	-8.92428392059007719178844190645944346858391068903321665557178537184592211197224256685361217855755729986784960676852976973556868849136658663746e-13	-2.04976734185199016791325597704124719960892405716761557044667221279174720652087599892214512874878558008760643564716770127914661663000128139655e-12
30	8.18863649005880932293378668573399696069367249776424230777055410238408412983999922661456621421262274279101274872387381939971877930609448617927e-13	8.30620030860029751638376249566297623548142611005099607563441325021965517687743331486661310895926575097253497853624140620031733539083088692233e-13
31	-5.58655560932826432285607110035382312296249989402686354968489724806736622130931243960682153698259453179467438961721774532755223249730185979147e-13	-2.5469494341699032180394444226398850193616447606425012148099722374579691868654334520550428854346991938480988900645276216818249450425189682149e-13
32	3.25193774763376806052517517587760243630587849291342354737923512668817413778023634313563397630672315448295485378049569063657460287715624626515e-13	2.1442526333329678912184732933328345732967987185490575395075069690539389071844631651521616058526070041066349388544768048348381036378823539319e-14
33	-1.66894269284683676155519551775388191122628783210265849000131047602833237118549100012772896524478245791004836500259824282000035263105525840099e-13	5.0413493296185366929736398753078480203839599867438420520071295973048563681789372795592455047845837851878728004986682103289116064887932252142e-14
34	7.479051408636032625592856277710103175921846909976935156892563611629090873601106917315611295522490179529120989957252697212328645702885778417e-14	-5.6874821286397209387359581695060940136741024778425846789882816092709211793470418216776297240555410689497973946135780553136317589315857067614e-14
35	-2.7356180877818389419671661043804686069793413516847104763529797757006261391057510659787354066910966015047952107049303991061378020310621840166e-14	4.3061974794201753963571264285271697043451128685393128496544657123142382741162713604495118238269956115962723806942516714020705102365532180212e-14
36	5.920872641183771430893374892519639038159434733410901925733628314872641813986062724903497736308843101786853701047200618062991521993636507327e-15	-2.7280017535539917035085063502017452594296919174906776861178696895403871488266395116973894582170248704696658905951095060964964671105383597826e-14
37	2.069621565772829268210818303404496515274260349170440952002689126616065989001786076413333838659917759700749654520774465452252862695312135198e-15	1.5247497228925884174331648461841125272735500966386670962114865366379760862764866447082014966728751739602475233301922596225604737249071926836e-14
38	-3.931050757033892487172333064402575406565605403138379133498320417869562279356109508830287802512338732480376957396349642162158904536088351846e-15	-7.56680954259898759012644625695882376678735987999035832245234696497905361788089822318429217368183434667286624641358314580246470379715603845e-15
39	3.465375910954102217351175349791185012910906314968978548445380968446110178519814867255312003007406082186685669742229180998032399425449287334e-15	3.228778950611111104988495983464086666953570496945941309112769691162506229225647709388357183868402308574711829435913857365818912698134257137e-15
40	-2.422576383672131856425278766542178335733626945202868918357650014594661501837141796497013743906935168153553028516908704008118058547519365446e-15	-1.040809445541243657975093930393947039749730216409706254501596629411169937846218890979129109240836126093223952994311894769011544344556785149e-15
41	1.479568479903125599947745364266603849048805858548784642989412660460317820606950293870432736023325735245101102391278432359948655095307062218e-15	8.0453686307120599864808836474890503955378897218862786385254317737980827075880788046288938260536594140196489011490470817394095629661597477e-17
42	-8.13596388911636807377658583549441074142158128119463748991381447064570984737717395235083018633732994119448774023171489363036262260851086835e-16	2.49505708052290249040294408039851760628083801806027116531961075419009469510054256812940593778554267668120028932750228210814716193847756211e-16
43	4.04482607504120299301814798995416200980480119912243193469827283750661662799272774858170697320157692534481471549988213827861175358194122662e-16	-2.9352943057770639745759171765271082561268666859207775109556291533795425385149669471618187429218298741554832080374163216067800296776707624e-16
44	-1.77533427104486743856004255744812086873019023213212106023847852469731823239638562814452341627078191770935474500085111387776515304132105521e-16	2.31998723660148440759410728725124610792670009457492695329447359943961688538596038857243210234448375836318904042855583065679598103037064577e-16
45	6.1606696762241836274821969966637430976875942085797591311549986975661095790693906274602530584559756486639446181343674892158390124559628799e-17	-1.50138007766482080529916073086535913503181025282826436503642878527040264521294046227142169670115030287980923304082046694570930360613348473e-16
46	-6.21286551588303046609010353990858195969262663039427711219274933947730367767591813989726067166501251858711569918581562610573108378804448e-18	8.249239054953586532413951381520763922203555582379328596571979413647970928908187925060722677755973721910729377886965188837681743832061362e-17
47	-1.8725413801514941609044089684659680162473704177659913495932540741950509978421373011925110677776495904649529280568157947900165208917058489e-17	-3.8500099162785403696023464342127837008782908209620356648454732139534858076441195239671137161844648526108377460715343356121745208540280797e-17
48	2.9004455340960072125829681198225242960995378850061477090904621341276113122883596026054439152730628339892960382794931461354487589078424076e-17	1.6062002521885677863201711895078890494557200763039700485615869127480341905369880722524117918683126330204665780436583655612756105988023671e-17
49	-3.2295212272283869945065741603830062375873852598222790543392442782361808265640491058184869029686094278425952215081320386021670115316834831e-17	-8.318231237867569436562957473976535091128983378552735620631856002758240899211908957712295389837113761087669422859073598929574662423216779e-18
50	1.6237425624789341833665292292309012708194972641979748599319641570952567421000119068323092347817096443439240526397059476543280660460730323e-17	3.513799404424782300879646438298471222760972120979514386371175435964207195192640962894167475715165962142714460551109127279667044565774313e-18
