s	-0.33698724679756641598782900822950097167625881023656453882587797459690471693875779863237267463257372057034019987821159543205679457839345027864526269177997625	-0.8222125082124025263236332099188547359768893975201992386153890783167679403609869833434363496556752649989928989063270507220536388422672371183432746660572731
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
7	-0.034743252345776466546345286984031359019106923608395699980132841396413526899073985663239832729434122325752693795425325538036802688572536056915192471261425	0.015031852694944328217913633333912014739102612961660274561637760110513162934651171018237632883079517815415812057806596441992038005586029973219643210771058
8	-0.0196906196491701059077844216146109798053984451193655980333386409814360085849111278547885982091014473323444129990690298867316200543234502541150353859701585	-0.013109022949766981669562375683016701636417938866291756177066215120268431690054185200062299956800258711839931699755241751068224690365894301236145799165668
9	0.0013759503722608181614135667633862829802034037323364397536039879827970729821242005229896425320682822088850166681662135104930368456754736283786776041011627	-0.0145359462863438723271732955359980516777943491669965108851783291154078384302062595647915247751778886287435063441190125000584665839603180619394186634871587
10	0.0083899330583295047290788621969727903261844228864399322655170177111252641152184635734911382194242224100601692922271157637753416369138878624825083591842661	-0.0030329614909034804824681732624479907971893861963063211467220552443744337365452394531454354439035123280095841973507767673488524977213355200770589923561325
11	0.0036797373176128063352396967398467606963366473409096279853722143769448664446170708947038517470402014315136500135425232182447971872443011107119242224878865	0.0039228439861945580176423049059085257351769266212354920304629399212012440835183982651161342651727295596929160351364218132170252854321088683653585192435513
12	-0.0013434111115638734742815552150341195527524387161958586651269557713268954745682351706145999648466236053581361042719542063870049779044757414209073923864363	0.0028971573995124443815123790901506806417321320423274362930418304625634185045609153155631450602488836554095055654515993160702948427888209090615321318066457
13	-0.0018578706352221710660130390582873938198762231860624057446249390390643233856245807625000594945047717923480987744287251225386643250205978841539679614648181	-0.000126886084076903810611642811900771251094472483909537095036629798584919535294098654712735293517133687971956995106204831020047610691259381885911644927678
14	-0.0002978243332144738420407676866684561725886393030673466565038530124026142767969745507639417768029708026543799615580846156381516674557788281238859603979235	-0.0010239160232351090307328330844937016938134787995403808006614109360225006128120522488448262390351837522936136844772105719846130298722230831659989485105786
15	0.000487877348541519384691861577049194556341804259992371754523256860029581961270856941633967732793275813517922908961872409079482527150065017343861692952948	-0.0003496842150755359329588152589905307884123847762430934481775814831681735482301643643917206619762324675314482003201539551857299091703065431832308803977111
16	0.000270440586988635543953293045821647468820307872214711287622536181713724331732374015247850985915256705236122810357795774352549816307378430445939700713884	0.0001934520726982222382244252775574105477531368872204564422859044276862656136817811714927256727489645649032155579774313062277280794761759050519179057910148
17	-0.0000540512158725319574079348939511527578327837467736610026303952571007751712649074098299542558977454542823014364926302002724512730637497763207725740185205	0.0001732600664334564391736331882356101526844589939991798030413816764448311552979103609154631040231678947456908469255366268596114514342479041437454647765117
18	-0.0000977260497939316878099442772444941532877935767176750193187049522050196895727551162736503621441382924868012001817239453840881419698665797088999304162434	7.687386684394516897240970670413787130534417840140879120394122740049147395184425570594583010474280145522476723889217404938533599122778781309115093187e-7
19	-0.0000158931763961639714471416541889087840183909540580042600106106262368049040202118979606929914946280237054596400582535803348515825857905702116915211133519	-0.0000494742259519933925477084289825611797609735159993900684952586449112382158058938793192700240476592087953717424548787185878236765279454132610662409246848
20	0.0000224277166925064002123919835181733087426799910931584439646374298571800481551871017750828563535949200304683207505616853708034998428427845678005559228256	-0.00001558357059892170633619582046157474813610340006168133069416155892562866360396159794206905243970818322800136606473651844272721901473530233026384984501
21	0.0000111026603965516270424083644607125584451031187852262362382157078244724083380824214732803664753929998209448947075226257179718311045270205273900792818567	8.849861591376917489024535183336973028672107167715588069122494928146213793485353324580645972638992597762589804308923552198944136756581191219257639099e-6
22	-2.7626626443811889323832263342804968290539332111378534047549559149025485125759722823304394193204358019883718096808366790299491886702218452225108163779e-6	6.764984696254327879553550996374868777723041671472463445872424867278895980070148957196677352994557213109190270938121364080708249339877613595706801113e-6
23	-3.7041494419166215196640268212377575387596959819062170014982706688426052409659601476021939942881052361388267746540727008966054595482320485539693959201e-6	-3.98870970797373062302665366311310104035239400272111148327164427541405326426216624774677798814365948189518655947377581041184800483962246967437979564e-7
24	-3.1619164268319641230668973312310884979328163116396539061506200893334078594519087323271127511225386691887754823904796292792650524366780141280513888e-7	-1.856035375898874241759141041703443555231289148238612278965438976293857303366570198639430107214176224389415293031497911632270639264322205223968126667e-6
25	8.535014585736475577656553185695920870530210254695447204436882746324068006135859763522642226654166135910139755066519573610750459319334516468701487234e-7	-4.025197046780093577044675397293262749974117232349726385234365923382718997383264706352516751518938356140013777707540922064485096099797596356561686106e-7
26	3.055034104908701268525246974768044385682583414035807751042367315986809716784399000307476487327341054058733031108397489887910385635116624515722718581e-7	3.562567413943567268824513857701977065291707966782842288800869344602223848887841540516320913266913780104662453503594393736018042888860963017791970663e-7
27	-1.303028542720729640437825381570778109741362395946195602619966412278558917980196754220098848552966417841867704765519379987350365438663970818607617902e-7	1.915880301301478206807837003041612600301688434955263344616728660117738578405498534598804524776251583324457768722965721524190383110696207322415775958e-7
28	-1.072590210435244683075496380027195204742613833670202867413911072085128665427120823539036322526642948343027701904561601069689633182763909073470276965e-7	-3.74383656114814089004587986555431233344564805417784829512101812389583533286925849739869611861883864094302447666474092303690760059923401623199178335e-8
29	4.2805872765135223438365304536214384434553752999465820082832952039002274177992103666326850401672764131634505558266403476679084978066431625440808133e-9	-5.51735776716695918745604467019925849094470025639219430153897665404336307049963238474941886729823173694024356304519830016474943198340240182366378615e-8
30	2.63671164870708913676875672458618213575586716305000626177556038725371050061672712971205001886241501596367665062954265342174226601609248140828508662e-8	-4.7470042802591534514452140292124603734604736962490421526128264448212137566918202201111573431650329635939401721101998212977964379253907268278162822e-9
31	5.3870570515516239353215983622053933396576884624132355304502567153555113774057141332278419005538686156548589404351092622289651233008961727387704906e-9	1.17150115301218098646129070448009101806667429271919088030690631150898732966502403275974013742872706054364489235085452736071176382517955674892929161e-8
32	-4.7933700142234825348205644701550347805805046687274772216556432361820117243028687994132588285667662834593816667957626267106168363556339803543808568e-9	3.8871842746520203945659273886060709924059406902067543500614888182399006519177775323617165572351660529225265844432493496611899564113983294470563991e-9
33	-2.3541786699321226095365151247613177802016524232758284846679446741303568122293360047499482751844169043336037387876033532237536154445928732287667129e-9	-1.7579832520879905426431458053636404594870131673245285012504051364954330804632816349664416231634355784824571509835523661792463218423692138959631642e-9
34	5.364068386403937552943080270027355931848868308935219520639530735307330835346245745570439042245181473483366520340329399264040669045375271716847336e-10	-1.2842421902465915023372660098200626692567651098970284449157170904469948824234005200061235165219268119852002240832579923489128840784276265227444989e-9
35	6.485250138484637901295301185617093455843137251655811087995855314425807544097299256836961909913327950943223785962658968690242682319823631699628561e-10	9.93614863701812230671703099424568489132910021510515463521757013521681136029182376382990070034701086411337265405212878101495261020178127865708525e-11
36	2.75447939010391369358757070381175789215219956673106250487048098001733237540928044229105267749027822664309254903431429562788423887438206757322296e-11	3.066326733333627819318616140208900361707980880342663023085318818754756607252416809386428759873680406909013826579705006753849070947974058513886238e-10
