s	-0.84610706930751223770657615068412149448191241410164753090853056114906360154019991955367852609766202327912269536179194428165713486976024300172891295813114336	2.02838315127476047655882213263720063441512166214702141721215110124921327764561836153719116410206298628228558055226062934967264234115033647199890058005060346
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
7	-1.719982023601510457516281676220884017172604382822848747746035707603539121816076432770434378802285650682022706773187094428953247443471376643113079661e-9	7.8119553524226292089542309691061051235663300179020027648417876772978834460402776509154898134546942424693866233550440043009695189176885809359747909908e-10
8	-4.379263536015364411109122437059261718824575357787801414832678558304000743653099162562414503702999542200441211377923153681017485989188727675980237997e-10	-2.408538320612871616011158008927059375766265296339119523146383902361849741982520845021702824739563157528465376121730432934433291184792106426446100943e-11
9	-1.0327694925743902490085917619555968941641035078877729766215782365547429149660185675030723097933139232862591647344784368159031875752407298513398767542e-10	1.0669270589956449025038495331590782466255889803617757551504571475666680370749655508855750156440409890161233482810845859331270860281965821368912758304e-10
10	3.776694320343513898401047173554685067784878053754944698605432340498940420025932096349279255077524364098708981248443766839255500726273182869488218222e-11	5.702423543038683566818726721143874692682305481115784667121016724016622123082228078631478671700572459802430621234955932070247492195045453907486755263e-11
11	4.181631857629876057887544755956246827310474201010382605070413029414079354100442676609112921393257317953848140455041499295071945464751107609596185282e-11	2.721241247240508219981923130725558966814804170098594586555432330573461287774069236517101820041464903959104129203890924775385434052235312194436664802e-11
12	2.119942813904032419865349962019511358717219109919520776493843029078341280154815900494709493578652599258426751136070280033227017966986541657719915767e-11	7.27293865694072537222025763596681656207732923148338559756648271409839798085825145192102259033825631227648237128550526982503973343682974249117757079e-12
13	6.59006842381693742942993501422069430160966473390269265678755499951132157780833592760756488243615449873263271627760638592301634393544533721758706931e-12	-8.5774855393300244896865427511046850873809234795554073012525943788631595514981038954948117118602153434292594231760582480031196825685822548024685391e-13
14	4.2023201168874932893219795691486961453115741811696712596536349211696799619097664677177897125223301024646514404847188427415017271946751020203836291e-13	-2.32691478320360178941554888688249671852762998703668287236476751665362181396145400497388045802525661290328410186956216499929920615301725907345946449e-12
15	-1.06583381748436870883893400350528880120895291772628222233031222187940196314671515948771820893441208295897989064547642842106939617480789886758589515e-12	-1.47977125979483245570114551625408473669684119214822354794518969441154181424538762113705560213439985904425511584091573359022942442153554777955136838e-12
16	-7.7028391289182456915242573656703772991649631212990447648676775090786709806138011433340739310284423105608678918454333076902902369450926909395204426e-13	-5.563794534934883995028390628606497854573718548697041375029610540595561587056777248754728833709702356244000062237284510754306156118072921166747476e-13
17	-2.6507599621234378540577511866819187453069156585634515834769295299392083050141001986091862184762216228860187632888598466142064444342336192225366427e-13	-8.182353905927625122095847306220538019991159173810973910194217934273033730899834384256717772696973533416384445240281815303149752633648357139226109e-14
18	-2.301688880483443947029457982639738874938056544913481332582625671145558200467691999151255235712246176126452010042191626739683444576113244540318674e-14	6.112171120515933334042686044788307025375220733676874221562780738515278223772138552190248391891187262860898088735606840536998544757463152628372265e-14
19	2.861215105422370630998887428802240911870213510129118547272912441823913890831652382640791453052738983278493920476469052519452154517439192503562787e-14	5.994999165407574592675070400654070953339639555320553466892220001556057065156412673059204612492117269880415574664064049690464118893543631974040444e-14
20	2.223774480977737972923893811635853937718791987382197371724905094970556594662684987212928536315634599213070012754024495015722754023128905250459419e-14	2.73243047760365635081327246904146675371872580516769392688711745235292588132874357820108942077098463950606138219028725920707182947047144693163436e-14
21	9.70951911006066608188785456058171470653895426308791842553319572112777194384860689273937994566845638321341294426713711606473996087488261710237859e-15	5.57902739868743365654985576747108558431337456107915649307486772025051645994127402962625287370651291127092049349433945519305924030911952905256444e-15
22	1.57629138149106185009490899165033976099912777446932834457179425421963177631421426668893403674630527176799432142723661654303463393396924368421723e-15	-1.8354429534927963847304439932327104186256212865781815823259253523746566837271500652841263383871840036895644689142374732630979248534316492512646e-15
23	-1.11552829411197028911120743076748125443569743040241488196839399002530595508332078524345253873210562617903872011813786815195858535357100932680907e-15	-2.34065777818608185461086819298738702800363641016700943233468531500285547584048297955570524647282893889445913439051858245911344052962714307278478e-15
24	-8.9064725387121141972347687054278696789406564985063415483512359620192136759448903813673795182472364325449147765358200255425281996549040197949488e-16	-1.19839984267996309424086230570172134823937149727833412626639773958480967630460008208532629833883487275039805797556801169014217905860336352098403e-15
25	-3.0512032153436464887416143785077684341294649165823498295431211654595071745808338146506695050778856618074953597825068648756045870938587686257506e-16	-2.9806599603229075989516810872243605249948393407511920242498381156821721880981373736949969337304060641588275516071648622968590060541965750012721e-16
26	-4.815770267080316166480085291003695397503049586085433353169560958745954435113015696143591595542540605842519063776259122807376748613561174247163e-17	6.382943024788507869033799964521108017708976663251801815757721398794624259431743721550341588796986805352137657925283774667266151670062866042007e-17
27	3.073189617514049303538693858396889644120898879834534314998924144869533545368751473067669672069599116190198335234131737519722021711613594099951e-17	1.0127459743602561896688289638105604063884864063659517613839986986346621148115891216553522666127549800937026937045803566715684093563669421285736e-16
28	3.572295705050083347163339552357715236224847884294309581224235359123673034979921850279563987814889261903682785201330975551094067299261916833918e-17	5.149468110862623969681909041601307856774401590413485281611342809502269479076080234333977406791687517891242496993280698013650037861839664361404e-17
29	1.381485447199814392962048387887636855957552875577919706298955178644382178404638369889389549599606395286190514333887230797071784459587829282278e-17	1.361504228253401144342229474697926338222924916189753324237580540786609275008260573864829756645994631708413190473435140304103723931842733291433e-17
30	7.158965049957097760004594096107963728903313946365508039190655430578467685520851012137593133186969148638868650550168869597612982186407224651e-19	-1.96018390974253181871687627427532019694633729391723985854021632281987300099338562555015879905505572971757597204844227656517844359697824768785e-18
31	-1.39835894713921232378769655618543952954142564373615299317575249282356921160990616533477566026000531043756760319624645929173806907147946328914e-18	-4.4627727113775355795225522328157566968345450661601979842390587200253335147435403847514169023568455666311658204201834520073652444479710871206e-18
32	-1.16929934782552314707349972905548304768624401943352773174630501926268700163239201007310964057636335934017295328583322849784828119536148924686e-18	-2.3943946563021748567022730538841726167008084433214117044268462593567073722406698496314876391179897571779688546212785150557579235396022621289e-18
33	-6.3850114496164153511419242742911491871292222971140588689614216355762525820003790582314242270773969728399704508765102233513422646555610211463e-19	-5.8339840578079474667189953121416864477078951977038504454576494626789462095473972749738492130224420491856553671788228179684952733519029650936e-19
34	-5.239175439585990584693166786585789468583103290218896913186272869161167886491434858455946713492871129925108359678021238114179658664792097175e-20	8.343954175349460656498773521327065025130869219923529625006668574814500942930100393890965495232215302763339666640514895740305393627074165452e-20
35	9.780119701447294285269277088471895820254679785312643502262415519432970997510527538148034785095165601647942631281696713131363511958104782676e-20	1.866881413042330440062770406141947948584825326820384185093997110453608474831857313888223632467684171911355548166928762121916222592671775154e-19
36	4.113759515637640761204039829128338153510951348567349296300687726145979257912427008865927805032368304872492371817936574079018939474586874276e-20	1.1262867958743050918285158618343459468147246831939531091658114776278003885990009646088140406906741543983056634862691912534942340562143441746e-19
37	1.998071339233947747011274884859045567092941923810720835657831325086275843477251042851606390332974338814587487441972341751328714297103842252e-20	2.812254900138704910287183104889463166722114031183400387198156706593274710743719986431189960867255918348700009992823951782311691649852711164e-20
38	6.75487832060407552423064240733611033633912789071388675874402990098892161988101395785881687387074416937100276994519734639429278406827674794e-21	-5.24854592329982909770580016289997593224062083317437622989072301750675130753949350818882832029166753493275813641492467561238318511705507415e-21
39	-4.87466174892812892336548300465534092631756309215677025959066881587749369906204835323525733133921466638240179525655103803904532571885258962e-21	-8.02515302939783461809568308910916160108024225104996648403245172506511734665781391055280380198141421923579705018361775055028177810096906691e-21
40	-2.81383528490462556777959159750834836415674988641029503047745645866432840281223417012675941794441884836538840232848598820116103310896944673e-21	-4.94539693717918668431723245086416872729263169695197062047603816013922308312292499502877751442670835663629683486562317012438732156531411604e-21
41	-1.8483651354485092939227410696356422322569946167157023055528270488234788124909265804281780432995106970653270417590402661178438180969999377e-22	-1.53004793550223539444578332895968342695782586830887216821902190862499631720580736014512021171084804808504596466213747351561352797608633293e-21
42	-3.1528883809769272175053963977379896683665994293191749358796464784327466135031820077868520435423228042547427197996482274538055778937398489e-22	2.9986450974986043521145602920111180140059784437764560436332783695968923787883727376824299753775622823832749122430917750836530481291180701e-22
43	6.33585135806888997232377508851008498141327882853582902298517206312645005958252050678559370017737589752037102584884353299050594471645061e-23	4.0422464432822349537391787593432569179241412636159179698594056236338766108240114030223193310748226254578523890385637733787383961029460022e-22
44	2.1403590578342115155318043339524537759363137141324478599826167946537644701856369832286878565434064353238134154791946882630707225528232789e-22	1.9340167108893923922947426422040353360307322201852325495905126251103921272181661308107691036527718765774493611310273369810482109397213616e-22
45	9.21090765003273429441884501016566898972791426141054655511709497187911728830945144067428295285243958046807006674650665976131803522999e-25	7.987794463649106467319569121639773875305532148308397719126087256824017055026714023932199440774007530419047751504265452236066112082443222e-23
46	-8.65554748042952003828219725707389089303615936595187372590112305951547741011842167167040812034271422569109254873266663334599203564417022e-24	-8.93415712501160023185315533127902093269232744808404385396218703386954362834033662307885728996906761646725452811572784666852994199475374e-24
47	1.089886880779115266170290523976973000195216331682198657905357027997448693062735212642136624600297918026936467838868762440810536458125627e-23	-2.427181305482758836443942205747029921317146581046947990626536453550581507173725996210480565844657008017909522728083557777963657362470495e-23
48	-1.129044834247531682878640030602175605610223924988854320520324230292467188047515004822516056645030197643510531677583808072115542093463042e-23	-7.39724995311709027493826860723714672102916988821869813413781616575555704889688399267815549704074613774093896633204130087412606994642265e-24
49	-2.98585139471712859708287070591261688360089547647181890458456979963686754227030232318434612480602756814960099703689431897761185755831485e-24	-3.06136200848402203185105656450320786262383975855739628190010504488814356162166942101907723080687199335851623339899322188545407083038296e-24
50	2.72069280518055000792274093770478902730501606994179507100692209710369754770852765900560365797601664495908370204721893067208017978145137e-24	-4.303060350060740067067979939272616616218839430756352646062652265388799705029298736731695639781351542832792398414667505305725923574001e-25
51	-9.8660696663965575537169984735329076896265586727856132483236619972335407738999704980088043256568701675060909400159252855295072070455195e-25	1.46155067560340519809669881392135088435154093383144770483604594777096345390359230622820432591385342962031735388435439027659357382581689e-24
