s	-1.893739517016341665983638444144885628475014674244183303912052567496352772207434142969100349982064891339763604988358607158803526238454879776685815552482381	-0.414946124659005446033255574330787247139745875274512949335553100798549590936647502400807356305211894780849588233615173087683677897364036058528092180692213
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
7	0.02897545241973852846979529766093293883860674438355126001921729858226831200709477173189113488921325466507301499423633706411506440099361170971195945638541	0.01265161768351082813545356479452076392203772214687753781090448471601038443298829232480729507226697671083953616868266156892360870591366060362036034587169
8	0.01548265933050975412110755840927681409719380799558374512717327036818804979291774421853221918453215851087564921149228249648044800787645459804671870398828	0.0057865548436653656760507999426176388425870265489268959614561805692647572127172238911322011808424023872959799094738271848649281994885156640689839094602
9	0.00731973595478503366820821293302067984146445634622487451303951119330482829297538783239782360847047420655236006913067755540900549087664596076865769969347	0.00220221844492786093472131456646729397275028154872631944780552479069945961719939944192516494690390264332772907423597167749228920773835328976669251005863
10	0.00317158491468969536508530915596294785519700791330500288024264457019849588812869794108029412104970421101430928828298247484076775640212947752838114392651	0.00082917832443520214460877739334849980273648306415592423943139744381565265010561997603305028414408561647604813663461651147760892359320349784696482447465
11	0.00128696208083550935931391048456791718827404843104335140071815345628018722857649520522734060227264442307012353549306899438077406628544568996774272717574	0.00036292810771974152840763781883680604512346782452803064434009367386952681456786817822304600658626095439873563624542355211962966524115195281659814424778
12	0.00049373446871246147884551059673175286427759204067346629791450539571700658787302166742116613411199483034589411656665796279335157928574937939363454145182	0.00018288256721139271704111125580892858159882110186282629983040793511106739858892566585498368104883603241198581538535580769080923773267953184613639291382
13	0.00017916660724944071580577290305850697026397597502736858138794138081191792444024625718432208702395857024864349752270129158677633553396325888902725332356	0.00009324391629316780805946943273240280733529510073666214184490613740168071049234597731544159248852777407490449116300859686960966637969956877859860952793
14	0.00006113636601093258781545833172636885743742271379295741517785152463505850614425288163403748323896769143781254764077778689626641587520637125803257471215	0.00004414780883347510733948538691230284787161522611961759340209429077413249625251804998695036332407529077021926194798484877292772884622261011252023987661
15	0.00001941774624337359390075765230215891379466624130602503083463534221594126293593201933662828445680545955645322032817483749088392308658226085669119649033	0.00001891517668304908414990927690200679113542208122427349592408400030388127276138326107023568848093648363320401710595728241784879889653107077934153030475
16	5.65750409971466817870853037380795451378182592131165437331707880198256066526015483301221306624348109857735275867308554883322053272788348836846176139e-6	7.33573712985824479666535730215296183084270771388567562573713991457383515676218554089252449740146716676910433051661555273774571751084956340024918394e-6
