s	-1.410294999558070349236436426092990821297295220955726936171977355252073256113452019039225413771362459900673752850048134625355122401693420005721488772782978	0.503009659830308451787186047083166050675830618560773076126167400858777711732499202011580144793403171996277575647837696276047589661058898202145554044041505
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
7	-0.0016455926780896075751779603640071406960582943410273231343422657627098858163797860408324744884836722574061949004709506239040502447624053807300548060627	0.0117138286519805011422319787764680730618487063213296105430491202689825300009319810463763459537202017589219478080812945522456841630880791043113702199428
8	0.0001191100180493576975150381064796311220287253132260622932136314420589375923652276133410035831425429934721350244790978921702469238967389152678337220455	-0.0029440661167569873141227079552372773080405726278699396697893343770296458391443322075237672204484502550180557587259661993511192197600554357216331472024
9	0.0000688126933396606096493140316227922922745279200020702218629743035683797732096940466324657321490338897600921244438806566958777583859680813772656514799	0.0006738255093022810730415420554056512192557591494176401598860414956830506494649138898498270330624094953192145519845142959317274020136830489167472539425
10	-0.0000412475980263498445402995375921730967826876024749925030681923750565919260667217931147572472793860917721305085304238387747825696992649523299303848227	-0.0001365655068174435261037207139861579558052657960741877954740451836454203348623175968206473953751856130641252939601023694058454103196772136433984025554
11	0.0000139111246900804314482156864781790370195439394472279496540212940420958507219625381953889398703261819942743493937730105194883330400030013709052232219	0.0000232096656911758015143625607838553817364532300160556268452872752436565175325240910991737498820263772932496147409879324495158602706378213781445950694
12	-3.2992477716922671519171461943929646681859437929693811880548390670114959989836206762563427000444885738884989170935660901032345124739001278960804895e-6	-2.954304970768541511377195568861468433095863296191977338991587058616260099082817310735848796046141968713265736821673504285353134117534227432639556e-6
13	5.005865788321143623601212928759460384319158855365611473774611327789468014791370605966260767686329262963566864808188212157009655812519625105394603e-7	2.229217191369975200045514402481956347739263604256484026725171111236195361464988632683611795216147020834334678211651513521590036359427341290270705e-7
14	-1.74775614175869834714457090042692989274993667966612034309745601324526919026307071955691425491693884243334742930831965107125915075777056442830139e-8	-2.76587750907888474331988936369866479062179629348098043368213728922289591230881799013921043995259998860933859774166319493554801020824098422321351e-8
15	-6.8104787129825950089402623858992796873521854383109299043719022027171649188714001040331738821567682378058674829909374817263417159966108230710933e-9	2.66121736329434484239923636600995988923877030946326995476000010130972699669831131533957572175587597984259665785873051983880132721258017323943793e-8
16	-5.3327167552296489286704857690260548746239165665714652086881232012456709888511043873825379770552296354332095564434923985263889014143294118037032e-9	-1.2799584066054858023396980051751840028218508636104903740595251042475151307676406527977002967533182715582414062621363809959358626427916574637985e-8
17	5.5595683783164167989575185775245684498929123064447126959939902436711986520129170796334190355360589586486266353590296229437550801317156593526825e-9	2.0161582111833196791721850113939957305147648499345185310133652944695850396594627442834292726197291383081118719505653622170430518730560133332388e-9
18	-2.1817153862147220536355498032698394651620693182792391509866633812466750021797266623262969693336087232428225591592911349123946881352866458688906e-9	1.2873430192008879517171849214765504899702333191149204406993814732853639524501872182283432279696714088734563234922527876215264778015089427355879e-9
19	1.768838011538553748739621098281671030284574331317639412615013166010594197059623546351409995810844964681033674572451454694478111990289367418186e-10	-1.1057774606169955024417591623097781511081515225893359843809051925079449705665717276105346648311280572098513601978256740787714814100500291997098e-9
20	3.283012013088933267976815828549579306581511119803761613861853294262665781479183180622076928190693331476486117645118779059919326663626654635749e-10	3.878925010258055522531029886694378197761585074135608455425426346181816964736410825373945007101304574977115882144772527615880053976906115688828e-10
21	-2.353061869248752093123098853595490348894894594220768940209024560417678874589164876573878320548347313150400724763597006100722529423546027866398e-10	-6.2704013058052023453666431205916819356449146176102315633819720141042382367753887585823568766187346088024006387554753608138085006092961112861e-12
22	7.74769148320811607552974018318514692285809651733365017626643632067759569404031384835727269678481932834566629340702767843551323939863035375486e-11	-7.94627086295911973045888122543502482119435637439194092458477748532809336539433850691823016044800768388360163649365282629953158827951862441479e-11
23	1.9573877714088365462989280820225843334690998666047800494957476586364610550698901873156162833417017472948127407750436028423712977922022158444e-12	5.31662745577054974318999650596507457896050420006779539255159736487894036831707073635898543773525513382177898772521968004142801563052504252058e-11
24	-1.9152495326338388404134271507684999483080869923308738717174609684774915896334915696677270708475652532426083603165714904092822290788580059768e-11	-1.74424628779756083051748538098263072994588136569639348274149958779829421705779393563870917542777470766921335992475894192997413824737002410993e-11
25	1.27785853095421164178404789203340056473267323643941635063117245311967255934227774177543140038068948452035941295840505269126407977975881683795e-11	-5.550276218886191747078252596208763934567133738064939053155487667876105926025035005819758286111885847817174333427890979511265847431992480124e-13
26	-4.3930879883772414622995712395203016397638282988391149869492831753344165849866747715265312340531303299427823838283853696507012949077642244797e-12	4.6520836405988490825622263291990278750430278419080375866224356256458501078568604607030089154275557082881863702504852197313651604834844972475e-12
27	-9.7555416163547414447612264157734151143310309248866454624600390327067206046770490836615990541693241180618270680015004898943905432777390987e-15	-3.2430450312796211430828779112200045410234226286481943421430037122329865145622424641582940466049214204466764016419433602856342326193593666218e-12
28	1.1359667404078586707734992971941951572002087194187509039007655156603493591264974605349098286641090201328171287915383756296747079531551035269e-12	1.2153771067238830962669594024928758418636530434928560338041131790957328169117188368599706181699786699107835655598853439334780993626233340433e-12
