s	-0.58801233459500310947949600201737942196639978059092993013238364113041542636467947319277097931297444597319650276133979376995835121301788549956921365380597520	1.40296064781598375056510712652031271921980638763463817629966138455112259330518937584554890002032444911846359493420151979202226430537330169611322933242695563
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
7	1.23837758866364686992820690438541590903563901524899680018678613145572261648647142313839001188916313303433725657538580060474893791382521977897602078339e-7	7.821082281054220388744279581131647260864752366474755230011670007883949546617569137008069929389041770827550481045184203642420436260102470187839686716e-9
8	2.7583328658952554875040568235075222380001004261784920479392044227754836957212222272751085053385256203437903194969554600520573220406369029349055934196e-8	-1.3897456943550268078872223333225701492282451420126289708601485442421298141506849889073105625400046900196549467617871377209243159270770259522733330626e-8
9	7.77348374405771120404870155277837518377627508411619605980087523440920679127499992374714879753400585903148304992214746938301090163692082281916580295e-9	-6.098914744323216000075140752989726130428898897498979751366646311469324059154676189147987369324139224208663692609203955315145202151036171390264614964e-9
10	-2.448329979232002962839135862267394338706608750278990276944916733668722124016821322527575070521218112293029826527313831156896765543697144663835597857e-9	-2.800736246994662967137096946417467243037477966568272941994416886410480229377356332874220275109150637482350937015717093519922034675786438184920254376e-9
11	-2.419260773602215862603045130593561600677888828956169923365536528936317934808625387359511044562306457942289886633171108027488550127785917236256709481e-9	-1.02132028738650545284158351695193962608124145152773227579230040546419826774964897853829215072967206401477110662833458501683129978393392999226327845e-9
12	-1.145800244679061749847785182417716425433111456412609695066979963526373484877604988638246728006023971006533101051554281434160661952732207791350911118e-9	-2.10525544084611478359032055170664412010716489633887927501866030829585651780813779680138012341571259581789342777901126359423175012130298296829633627e-10
13	-3.03229962188975482355595610085702363458340039474922192482608588221516169563788560966162919032954362011620253561880417070254988624644809731774486331e-10	7.6750837485949447876740267137110359667781514811451027776611574812323268605781869508406829568541311019970773365918672580258340039786843472822986388e-11
14	1.7422690615958223962199236197589086291655868547991233787789242888147618036912274614324867609890580775778048410770059959263568051444980155126134176e-11	9.7879099884003631039744032045362380398658583452932985356020657520866651313639235771266212423093198907528879024625740787556911596167794814254936863e-11
15	7.4117708911769128038106935291898079831141911854048713877054537890633542585046902830368857193203020681175988586397479335308995120734596788812498821e-11	4.6866106131346442974318667421707490859124967928464097880936684132099647750761954640168529738045635714976123842109159601609927137036305375115683481e-11
16	4.185257335049454023093346266567460549300962196825892549762915021300142644091429399111596270572387567986453388737752109997400132669231686701795052e-11	1.2441294518514262057038623531594029484628486253861710415636615896097335378046483899293579076093367472708503066093970034129542105403138568862889335e-11
