s	-0.304656296507758712707696190854753356661937836997308769426477812336428989802624359914800515707857207542413401540125956889696506219334309929369841820375287031	-0.162406706078989947058830124225922373134479358761936450709204733687332653162050470796762389725633514469688956218991504902431119725137370051041988228820538773
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
7	-0.00666900219384825939446575476422500985696767740220614600151181942900433632825903712306218468281077959120859998424031241413792742451829913110210943906549	0.01096129571373440119309054036773866149253151131320782716415621049261579109281765852659765436577653393886222725442333017372470010858435643610705736935871
8	0.00051769407654354833431028419820661355342342306825692850426252032191638217175562586390720080051532488336791790231475665025077025041965617581657656742901	-0.00136772331175881309859074021629222249168479800121552005322252555724040228766122442902335265157301033541880928664128649872118360112180004399600832221328
9	-0.00020696766679183647326893358069270271636685979493345876409834906863352621225721962697645064897483690445336956834250716780266212458159481357895674307886	0.00008458077194325820876013641477252703831266647946239463121923426183259229839129628716607289596457135468433414787759937479828900872830142058644040900799
10	0.00002954108077621688422596061902751299451833291509271840422495279063814396556364647961423723692994535381883150024317006163623150668552105034431622999668	-0.00001446819479203194757792665748313881808084996522338175344276401470666104153409423371524244677302344555285858381912791914004908562123595689919934841916
11	0.00002484448298860857586519777197926771852108335542893230383627947337969419292675827190258754692096695131771577111818959304959273707516821154499596857393	4.97050268768319217195420552605007996833680332671930884917817354655403562636501630093174306814072009656793838384110079941987418016235528303163545827e-6
12	0.00001114266518674042293829965030575568101073405329789985794166321074490445351508097285706667524977314844941303340744016969324366604458713042521337397325	-8.6786105113797628354401482052600040083210114159530655196075252703634157467370042292320806068846302999723126451652951891965304484105213606020138919e-7
13	2.05517176713013895359593023478310734488384915386373485518593353630912105143037963542333400537995623265516008466922930051801837563790713358381609267e-6	4.7825549544178052948311110217829495573616614239256401124240134379251193908986364928362621938229536615243929882455585430678082998903806451630982409e-7
14	-7.023375742360314012092565168654690164557735052333447302026606727329728193512512030306718371880767480850498314710950754306202934776014529492183629e-8	5.1271072873023055813140640847351131785547811389348167283889499606635765815055862059845171638390903002387079208690002969699293711519166115493584026e-7
15	-9.1400082086249336836993142022670724265124375755412889265834429420317294409695976343990894481119626592159177040174140074351836286293434453216342465e-7	-1.0059588751287895882548044770950392704838695702293467688741576542060163428487610942438863257084054343789065487406592025978661273472398091007118549e-7
16	-5.6922317406008668079854331345086297111793647514417561512955724742015540523160378511319267221679904262446852757969356051267623546093564493158091921e-7	-3.362548706940782607120089392113814883024827016875296022356323008835352500533216075942033905630054664133741390993851869956856727673709471469794386e-8
17	-4.56522804739059696199757696161559781711832188695682241093056357501706701547223362770878673640618015026058175609444371565981189908746305213767228e-8	-9.39413482706232531751656905103146997826681482284720564993549537869764278544697985008357176652609803492627141811674374028629834520708026646796909e-9
18	4.80377362621760189221903716048419202766702314407346622240363191366210845374094480292224819741053510607002093047666824456254410086747734154053334e-8	-1.367956158500644283551299795792553915706514558375192461032364473551866187364631708607299929800209004461101778807032163643516381835054150268158839e-8
19	2.647875768896003186025676088008054906657646319978780457678611232393381539023356299389982267857657693834857434249164051512005718083706935367729647e-8	4.47999026316122336637357932392990532411045151353351558463797728011519020454450904601295480962518098159354478758146417372095624641583847240619573e-9
